,Importance,Std
ORGANIZATION_TYPE_Medicine,0.0007558167655267896,0.0002455452211121617
ORGANIZATION_TYPE_Military,0.000223775211729259,0.00011553260819370637
ORGANIZATION_TYPE_Mobile,8.746375812125421e-05,9.248889087544228e-05
ORGANIZATION_TYPE_Other,0.0010531340107681785,0.00027846422733123524
ORGANIZATION_TYPE_Police,0.0002243704668314031,0.00014366328798800414
ORGANIZATION_TYPE_Postal,0.0003788079445962169,0.00018937742210692045
ORGANIZATION_TYPE_Realtor,0.00013345458189486769,0.00011489834117940372
ORGANIZATION_TYPE_Religion,3.0358979522485725e-05,5.548926102700026e-05
ORGANIZATION_TYPE_Restaurant,0.0004316355176784263,0.0002051922511259779
ORGANIZATION_TYPE_School,0.0006267353896185067,0.00021688054485791649
ORGANIZATION_TYPE_Security,0.00044578180883771417,0.00017515987944549937
ORGANIZATION_TYPE_Security Ministries,0.0001662032246761494,0.00011702856957997271
ORGANIZATION_TYPE_Self-employed,0.0021389287018131046,0.0003767741936132715
ORGANIZATION_TYPE_Services,0.00024194721228600364,0.0001323058406105745
ORGANIZATION_TYPE_Telecom,0.0001443568205661501,0.00011511227791800644
ORGANIZATION_TYPE_Trade: type 1,8.640397453468997e-05,8.613556971168816e-05
ORGANIZATION_TYPE_Trade: type 2,0.0001656702655341094,0.00011204838756224043
ORGANIZATION_TYPE_Trade: type 3,0.0005048844277219554,0.0001987373989029132
ORGANIZATION_TYPE_Trade: type 4,1.462314170471734e-05,3.378809756908919e-05
ORGANIZATION_TYPE_Trade: type 5,1.022854609778443e-05,2.9864388930034457e-05
ORGANIZATION_TYPE_Trade: type 6,6.731971625734682e-05,7.671413956678423e-05
ORGANIZATION_TYPE_Trade: type 7,0.0007721953000624332,0.0002475240005924577
ORGANIZATION_TYPE_Transport: type 1,4.0596398647651235e-05,6.193132925783371e-05
ORGANIZATION_TYPE_Transport: type 2,0.0003179506460553764,0.00015967194182326075
ORGANIZATION_TYPE_Transport: type 3,0.0004375698348437158,0.0001930571141690569
ORGANIZATION_TYPE_Transport: type 4,0.0006210249118280251,0.0002056463503315709
ORGANIZATION_TYPE_University,0.00015853542049712194,0.00011663117869651112
ORGANIZATION_TYPE_XNA,0.0010872479351052716,0.0006008732857896857
